district,meeting_date,meeting_name,meeting_id,url
Sumter County School District,2025-12-09,Workshop - Sumter County School Board,DNMLC755DD7B,https://go.boarddocs.com/fla/scsfl/Board.nsf/Download-AgendaDetailed?open&id=DNMLC755DD7B
Sumter County School District,2026-01-13,Regular Sumter County School Board Meeting,DNJM7D59159C,https://go.boarddocs.com/fla/scsfl/Board.nsf/Download-AgendaDetailed?open&id=DNJM7D59159C
Sumter County School District,2026-02-10,Regular Sumter County School Board Meeting,DQCJ9W4BDD39,https://go.boarddocs.com/fla/scsfl/Board.nsf/Download-AgendaDetailed?open&id=DQCJ9W4BDD39
Sumter County School District,2026-02-24,Regular Sumter County School Board Meeting,DQCJSG4D4A85,https://go.boarddocs.com/fla/scsfl/Board.nsf/Download-AgendaDetailed?open&id=DQCJSG4D4A85
Sumter County School District,2026-03-17,Regular Sumter County School Board Meeting,DQCJJU4D762D,https://go.boarddocs.com/fla/scsfl/Board.nsf/Download-AgendaDetailed?open&id=DQCJJU4D762D
Sumter County School District,2026-03-17,Workshop - Sumter County School Board,DQWKDG515E07,https://go.boarddocs.com/fla/scsfl/Board.nsf/Download-AgendaDetailed?open&id=DQWKDG515E07
Sumter County School District,2026-04-07,Regular Sumter County School Board Meeting,DQCJMS4D8230,https://go.boarddocs.com/fla/scsfl/Board.nsf/Download-AgendaDetailed?open&id=DQCJMS4D8230
Sumter County School District,2026-04-21,Regular Sumter County School Board Meeting,DQCJQM4D8DD5,https://go.boarddocs.com/fla/scsfl/Board.nsf/Download-AgendaDetailed?open&id=DQCJQM4D8DD5
Sumter County School District,2026-04-21,Workshop - Sumter County School Board,DSFKZH544A71,https://go.boarddocs.com/fla/scsfl/Board.nsf/Download-AgendaDetailed?open&id=DSFKZH544A71
Sumter County School District,2026-05-12,Regular Sumter County School Board Meeting,DQCJTG4D9D74,https://go.boarddocs.com/fla/scsfl/Board.nsf/Download-AgendaDetailed?open&id=DQCJTG4D9D74
Sumter County School District,2026-05-26,Regular Sumter County School Board Meeting,DQCJZ74DB281,https://go.boarddocs.com/fla/scsfl/Board.nsf/Download-AgendaDetailed?open&id=DQCJZ74DB281
Sumter County School District,2026-06-09,Regular Sumter County School Board Meeting,DQCK424DBF6F,https://go.boarddocs.com/fla/scsfl/Board.nsf/Download-AgendaDetailed?open&id=DQCK424DBF6F
Sumter County School District,2026-07-21,Regular Sumter County School Board Meeting,DQCK744DCC81,https://go.boarddocs.com/fla/scsfl/Board.nsf/Download-AgendaDetailed?open&id=DQCK744DCC81
Sumter County School District,2026-07-21,Workshop - Sumter County School Board,DVRSH472B4BD,https://go.boarddocs.com/fla/scsfl/Board.nsf/Download-AgendaDetailed?open&id=DVRSH472B4BD
Sumter County School District,2026-07-28,Regular Sumter County School Board Meeting,DQCK9Y4DD66D,https://go.boarddocs.com/fla/scsfl/Board.nsf/Download-AgendaDetailed?open&id=DQCK9Y4DD66D
Sumter County School District,2026-08-25,Regular Sumter County School Board Meeting,DQCKCS4DE7F8,https://go.boarddocs.com/fla/scsfl/Board.nsf/Download-AgendaDetailed?open&id=DQCKCS4DE7F8
Sumter County School District,2026-09-08,Regular Sumter County School Board Meeting,DQCKFL4DF53D,https://go.boarddocs.com/fla/scsfl/Board.nsf/Download-AgendaDetailed?open&id=DQCKFL4DF53D
Taylor County School District,2015-07-01,2015-2016 Meeting Minutes,A38SN462B78A,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=A38SN462B78A
Taylor County School District,2015-07-21,"Legal Meeting, Regular School Board Meeting, Public Hearing and Executive Session",A3BUZV5F0971,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=A3BUZV5F0971
Taylor County School District,2015-07-28,Regular School Board Meeting and Public Hearing,A3BQLS56206C,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=A3BQLS56206C
Taylor County School District,2015-08-04,Regular School Board Meeting and Executive Session,A3BKZB4D0243,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=A3BKZB4D0243
Taylor County School District,2015-08-18,Regular School Board Meeting and Executive Session,A3A3QM630F89,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=A3A3QM630F89
