district,meeting_date,source_type,url
Flagler County School District,2020-08-24,budget_amendment,data/raw/flagler_2022_01_21/budget_archive/budget_amendment/edaead34ab_2020budgettransfersjuly.pdf
Flagler County School District,2020-09-08,budget_detail,data/raw/flagler_2022_01_21/budget_archive/budget_detail/90882a1422_adultswithdisabilities_1.pdf
Flagler County School District,2020-10-28,budget_amendment,data/raw/flagler_2022_01_21/budget_archive/budget_amendment/34fb00743c_2020budgetrevisionsseptember.pdf
Flagler County School District,2020-12-23,financial_statement,data/raw/flagler_2022_01_21/budget_archive/financial_statement/5fb1cef122_2020november.pdf
Flagler County School District,2021-01-24,budget_amendment,data/raw/flagler_2022_01_21/budget_archive/budget_amendment/22ea4e2f61_2020budgetrevisionsdecember.pdf
Flagler County School District,2021-03-28,budget_amendment,data/raw/flagler_2022_01_21/budget_archive/budget_amendment/9eaf5a900e_2021budgettransfersfebruary.pdf
Flagler County School District,2021-05-23,budget_amendment,data/raw/flagler_2022_01_21/budget_archive/budget_amendment/2b802ca580_2021budgetrevisionsapril.pdf
Flagler County School District,2021-06-30,budget_amendment,data/raw/flagler_2022_01_21/budget_archive/budget_amendment/33856c95c8_2021budgetrevisionsmay.pdf
Flagler County School District,2021-09-02,budget_amendment,data/raw/flagler_2022_01_21/budget_archive/budget_amendment/3854476888_2021budgetrevisionsjuly.pdf
Flagler County School District,2021-10-04,budget_amendment,data/raw/flagler_2022_01_21/budget_archive/budget_amendment/66c6d655df_2021budgetrevisionsaugust.pdf
Flagler County School District,2021-10-21,procurement_notice,"data/raw/flagler_2022_01_21/opengov/13323/71012_22-01Q,_Architectural_&_Engineering_Services_for_Matanzas_High_School_Addition_&_Renovations.pdf"
Flagler County School District,2021-11-09,procurement_addendum,data/raw/flagler_2022_01_21/opengov/13323/74026_22-01Q_Addendum_No._1.pdf
Flagler County School District,2021-11-30,budget_amendment,data/raw/flagler_2022_01_21/budget_archive/budget_amendment/123c46ceaa_2021budgetrevisionsoctober.pdf
Flagler County School District,2021-12-02,financial_statement,data/raw/flagler_2022_01_21/budget_archive/financial_statement/41d1abdbe9_2021october.pdf
Flagler County School District,2021-12-30,procurement_notice,"data/raw/flagler_2022_01_21/opengov/15314/83502_22-05B,_Grounds_Maintenance.pdf"
Flagler County School District,2022-01-14,procurement_notice,"data/raw/flagler_2022_01_21/opengov/15832/86511_22-010P,_Telecommunication_Service.pdf"
Hernando County School District,2021-09-07,budget_document,data/raw/hernando_2022_02_16/budget/2021-09-07_budget_book_2021-2022.pdf
Hernando County School District,2021-09-21,board_agenda,data/raw/hernando_2022_02_16/legistar/agendas/2021-09-21_962_agenda.pdf
Hernando County School District,2021-10-12,board_agenda,data/raw/hernando_2022_02_16/legistar/agendas/2021-10-12_967_agenda.pdf
Hernando County School District,2021-10-26,board_agenda,data/raw/hernando_2022_02_16/legistar/agendas/2021-10-26_969_agenda.pdf
Hernando County School District,2021-10-26,board_agenda,data/raw/hernando_2022_02_16/legistar/agendas/2021-10-26_970_agenda.pdf
Hernando County School District,2021-11-16,board_agenda,data/raw/hernando_2022_02_16/legistar/agendas/2021-11-16_971_agenda.pdf
Hernando County School District,2021-12-07,board_agenda,data/raw/hernando_2022_02_16/legistar/agendas/2021-12-07_981_agenda.pdf
Hernando County School District,2021-12-07,board_agenda,data/raw/hernando_2022_02_16/legistar/agendas/2021-12-07_982_agenda.pdf
Hernando County School District,2022-01-11,board_agenda,data/raw/hernando_2022_02_16/legistar/agendas/2022-01-11_985_agenda.pdf
Hernando County School District,2022-01-25,board_agenda,data/raw/hernando_2022_02_16/legistar/agendas/2022-01-25_988_agenda.pdf
Hernando County School District,2022-02-08,board_agenda,data/raw/hernando_2022_02_16/legistar/agendas/2022-02-08_990_agenda.pdf
Hernando County School District,2022-02-08,board_agenda,data/raw/hernando_2022_02_16/legistar/agendas/2022-02-08_991_agenda.pdf
Miami-Dade County Public Schools,2020-10-21,meeting_agenda,data/raw/miami_dade_2022_04_15/board_archive/2020-10-21/66f6e1f0e73029e8__regular-agenda.html
Miami-Dade County Public Schools,2020-11-12,procurement_solicitation,data/raw/miami_dade_2022_04_15/procurement_solicitation/2020-11-12/ITN-20-007-DP/ed930db75b7e7863__itn-20-007-dp.pdf
Miami-Dade County Public Schools,2020-11-22,budget_archive,data/raw/miami_dade_2022_04_15/budget_archive/2020-11-22/acfr_fy2020/b11448503c7daedf__Comprehensive_Annual_Financial_Report_FY_2020.pdf
Miami-Dade County Public Schools,2020-12-09,meeting_agenda,data/raw/miami_dade_2022_04_15/board_archive/2020-12-09/5bf3e4891c1af4b4__regular-agenda.html
Miami-Dade County Public Schools,2021-01-13,meeting_agenda,data/raw/miami_dade_2022_04_15/board_archive/2021-01-13/35b10be3f72c8d4f__regular-agenda.html
Miami-Dade County Public Schools,2021-03-17,meeting_agenda,data/raw/miami_dade_2022_04_15/board_archive/2021-03-17/26d5c24a649bb483__regular-agenda.html
Miami-Dade County Public Schools,2021-04-15,procurement_solicitation,data/raw/miami_dade_2022_04_15/procurement_solicitation/2021-04-15/ITB-20-033-DP/ba638d8982caf314__ITB-20-033-DP_Telephone_Equipment_and_Repair.pdf
Miami-Dade County Public Schools,2021-04-21,meeting_agenda,data/raw/miami_dade_2022_04_15/board_archive/2021-04-21/ad0cd5aed17b33c5__regular-agenda.html
Miami-Dade County Public Schools,2021-04-28,workshop_material,data/raw/miami_dade_2022_04_15/board_archive/2021-04-28/deed169a014daa1b__materials.pdf
Miami-Dade County Public Schools,2021-06-23,meeting_agenda,data/raw/miami_dade_2022_04_15/board_archive/2021-06-23/9335bc78315e404b__regular-agenda.html
Miami-Dade County Public Schools,2021-08-18,meeting_agenda,data/raw/miami_dade_2022_04_15/board_archive/2021-08-18/c0a4158f07e239f2__regular-agenda.html
Miami-Dade County Public Schools,2021-09-07,budget_archive,data/raw/miami_dade_2022_04_15/budget_archive/2021-09-07/adopted_budget_forms_2021_22/7f085cb45489c2af__21-22-STATE-BUDGET-FORMS.pdf
Miami-Dade County Public Schools,2021-09-09,meeting_agenda,data/raw/miami_dade_2022_04_15/board_archive/2021-09-09/702547d95d1c43c0__regular-agenda.html
Miami-Dade County Public Schools,2021-09-14,procurement_solicitation,data/raw/miami_dade_2022_04_15/procurement_solicitation/2021-09-14/ITB-20-068-CM/6bcad9e2df6867ec__ITB-20-068-CM_Recycling_of_Computing_Devices.pdf
Miami-Dade County Public Schools,2021-11-17,meeting_agenda,data/raw/miami_dade_2022_04_15/board_archive/2021-11-17/b58a54893adb7cba__regular-agenda.html
Miami-Dade County Public Schools,2022-01-12,meeting_agenda,data/raw/miami_dade_2022_04_15/board_archive/2022-01-12/6971dc6c7e99e2b5__regular-agenda.html
Miami-Dade County Public Schools,2022-02-02,workshop_material,data/raw/miami_dade_2022_04_15/board_archive/2022-02-02/67cd9e0799a2d10e__board-workshop.html
Miami-Dade County Public Schools,2022-02-17,procurement_solicitation,data/raw/miami_dade_2022_04_15/procurement_solicitation/2022-02-17/RFP-21-036-CM/33db8f2974ba3986__rfp-21-036-cm.pdf
Miami-Dade County Public Schools,2022-03-09,meeting_agenda,data/raw/miami_dade_2022_04_15/board_archive/2022-03-09/09f4e0cd0a620e8f__regular-agenda.html
Miami-Dade County Public Schools,2022-04-13,meeting_agenda,data/raw/miami_dade_2022_04_15/board_archive/2022-04-13/9b0d5bdd08d76e29__regular-agenda.html
Nassau County School District,2020-07-23,board_agenda,data/raw/control_nassau/boarddocs/agendas/2020-07-23_BQGJJM4C2815.html
Nassau County School District,2020-09-10,board_agenda,data/raw/control_nassau/boarddocs/agendas/2020-09-10_BS2Q4N672A0B.html
Nassau County School District,2020-10-22,board_agenda,data/raw/control_nassau/boarddocs/agendas/2020-10-22_BT2NP95DA863.html
Nassau County School District,2020-12-10,board_agenda,data/raw/control_nassau/boarddocs/agendas/2020-12-10_BT2NUP5DB191.html
Nassau County School District,2021-02-01,board_agenda,data/raw/control_nassau/boarddocs/agendas/2021-02-01_BW5HLN4909F4.html
Nassau County School District,2021-03-31,board_agenda,data/raw/control_nassau/boarddocs/agendas/2021-03-31_BYYQG768D2F0.html
Nassau County School District,2021-05-13,board_agenda,data/raw/control_nassau/boarddocs/agendas/2021-05-13_BZ5QG6692CA1.html
Nassau County School District,2021-07-08,board_agenda,data/raw/control_nassau/boarddocs/agendas/2021-07-08_C22LQD527E6B.html
Nassau County School District,2021-08-26,board_agenda,data/raw/control_nassau/boarddocs/agendas/2021-08-26_C22KV85269DB.html
Nassau County School District,2021-10-14,board_agenda,data/raw/control_nassau/boarddocs/agendas/2021-10-14_C22LFB527734.html
Nassau County School District,2021-12-09,board_agenda,data/raw/control_nassau/boarddocs/agendas/2021-12-09_C8FQBV689140.html
Nassau County School District,2022-01-13,board_agenda,data/raw/control_nassau/boarddocs/agendas/2022-01-13_C8PPH564A726.html
Volusia County School Board,2021-03-17,procurement_notice,data/raw/volusia_2022_09_12/vendorlink/notices/2021-03-17_108222_SSN 21-001EB.html
Volusia County School Board,2021-03-30,board_packet,data/raw/volusia_2022_09_12/boarddocs/packets/2021-03-30_BXGKKR522799.html
Volusia County School Board,2021-03-30,workshop_packet,data/raw/volusia_2022_09_12/boarddocs/packets/2021-03-30_BXGKV352A1BD.html
Volusia County School Board,2021-04-27,board_packet,data/raw/volusia_2022_09_12/boarddocs/packets/2021-04-27_BYQUW273BD5A.html
Volusia County School Board,2021-06-22,board_packet,data/raw/volusia_2022_09_12/boarddocs/packets/2021-06-22_C2JPFN63A84E.html
Volusia County School Board,2021-08-10,board_packet,data/raw/volusia_2022_09_12/boarddocs/packets/2021-08-10_C4QGSJ4537D1.html
Volusia County School Board,2021-08-31,procurement_notice,data/raw/volusia_2022_09_12/vendorlink/notices/2021-08-31_117139_MTS-22-002LS.html
Volusia County School Board,2021-09-14,workshop_packet,data/raw/volusia_2022_09_12/boarddocs/packets/2021-09-14_C66GQQ4489B8.html
Volusia County School Board,2021-09-28,board_packet,data/raw/volusia_2022_09_12/boarddocs/packets/2021-09-28_C5HKTA532294.html
Volusia County School Board,2021-11-16,board_packet,data/raw/volusia_2022_09_12/boarddocs/packets/2021-11-16_C79HV3498702.html
Volusia County School Board,2022-01-11,board_packet,data/raw/volusia_2022_09_12/boarddocs/packets/2022-01-11_C98KT4535659.html
Volusia County School Board,2022-02-16,procurement_notice,data/raw/volusia_2022_09_12/vendorlink/notices/2022-02-16_125231_RFQ 22-006JH.html
Volusia County School Board,2022-02-22,board_packet,data/raw/volusia_2022_09_12/boarddocs/packets/2022-02-22_CACP385EF413.html
Volusia County School Board,2022-03-08,workshop_packet,data/raw/volusia_2022_09_12/boarddocs/packets/2022-03-08_CACNUD5E2AA7.html
Volusia County School Board,2022-04-12,board_packet,data/raw/volusia_2022_09_12/boarddocs/packets/2022-04-12_CB3J594B7746.html
Volusia County School Board,2022-06-14,board_packet,data/raw/volusia_2022_09_12/boarddocs/packets/2022-06-14_CDMJFW4D0791.html
Volusia County School Board,2022-07-26,board_packet,data/raw/volusia_2022_09_12/boarddocs/packets/2022-07-26_CG2GTF454253.html
Volusia County School Board,2022-08-08,workshop_packet,data/raw/volusia_2022_09_12/boarddocs/packets/2022-08-08_CG2H7D465BF5.html
Volusia County School Board,2022-08-30,board_packet,data/raw/volusia_2022_09_12/boarddocs/packets/2022-08-30_CGQL2M540A7B.html
Volusia County School Board,2022-09-06,procurement_notice,data/raw/volusia_2022_09_12/vendorlink/notices/2022-09-06_135743_RFQ-23-007KG.html
